机型,日期,销量,月份,周数,index
Redmi Note 7,2.3-2.9,26585,2,6,1249706
Redmi Note 7,2.10-2.16,20726,2,7,1249706
Redmi Note 7,2.17-2.23,19574,2,8,1249706
Redmi Note 7,2.24-2.29,16495,2,9,1249706
Redmi Note 7,3.1-3.5,13040,3,10,1249706
Redmi Note 7,3.6-3.12,18472,3,11,1249706
Redmi Note 7,3.13-3.19,17605,3,12,1249706
Redmi Note 7,3.20-3.26,50441,3,13,1249706
Redmi Note 7,3.27-3.31,15383,3,14,1249706
Redmi Note 7,4.1-4.2,6150,4,14,1249706
Redmi Note 7,4.3-4.9,22113,4,15,1249706
Redmi Note 7,4.10-4.16,18123,4,16,1249706
Redmi Note 7,4.17-4.23,17699,4,17,1249706
Redmi Note 7,4.24-4.30,14622,4,18,1249706
Redmi Note 7,5.1-5.7,16576,5,19,1249706
Redmi Note 7,5.8-5.14,22422,5,20,1249706
Redmi Note 7,5.15-5.21,14368,5,21,1249706
Redmi Note 7,5.22-5.28,12591,5,22,1249706
Redmi Note 7,5.29-5.31,6904,5,23,1249706
Redmi Note 7,6.1-6.4,8549,6,23,1249706
Redmi Note 7,6.5-6.11,15015,6,24,1249706
Redmi Note 7,6.12-6.18,12526,6,25,1249706
Redmi Note 7,6.19-6.25,14210,6,26,1249706
Redmi Note 7,6.26-6.30,10493,6,27,1249706
Redmi Note 7,7.1-7.2,4524,7,27,1249706
Redmi Note 7,7.3-7.9,17557,7,28,1249706
Redmi Note 7,7.10-7.16,19822,7,29,1249706
Redmi Note 7,7.17-7.23,18549,7,30,1249706
Redmi Note 7,7.24-7.30,15054,7,31,1249706
Redmi Note 7,7.31-7.31,2151,7,32,1249706
Redmi Note 7,8.1-8.6,10488,8,32,1249706
Redmi Note 7,8.7-8.13,12045,8,33,1249706
Redmi Note 7,8.14-8.20,15074,8,34,1249706
Redmi Note 7,8.21-8.27,11606,8,35,1249706
Redmi Note 7,8.28-8.31,6450,8,36,1249706
Redmi Note 7,9.1-9.3,5586,9,36,1249706
Redmi Note 7,9.4-9.10,15791,9,37,1249706
Redmi Note 7,9.11-9.17,12985,9,38,1249706
Redmi Note 7,9.18-9.24,11183,9,39,1249706
Redmi Note 7,9.25-9.30,7177,9,40,1249706
Redmi Note 7,10.1,1269,10,40,1249706
Redmi Note 7,10.2-10.8,7275,10,41,1249706
Redmi Note 7,10.9-10.15,6504,10,42,1249706
Redmi Note 7,10.16-10.22,5735,10,43,1249706
Redmi Note 7 Pro,1.1-1.5,34556,1,1,1259155
Redmi Note 7 Pro,1.6-1.12,48839,1,2,1259155
Redmi Note 7 Pro,1.13-1.19,40909,1,3,1259155
Redmi Note 7 Pro,1.20-1.26,40209,1,4,1259155
Redmi Note 7 Pro,1.27-1.31,24909,1,5,1259155
Redmi Note 7 Pro,2.1-2.2,9520,2,5,1259155
Redmi Note 7 Pro,2.3-2.9,24661,2,6,1259155
Redmi Note 7 Pro,2.10-2.16,19516,2,7,1259155
Redmi Note 7 Pro,2.17-2.23,17824,2,8,1259155
Redmi Note 7 Pro,2.24-2.29,15233,2,9,1259155
Redmi Note 7 Pro,3.1-3.5,12817,3,10,1259155
Redmi Note 7 Pro,3.6-3.12,17054,3,11,1259155
Redmi Note 7 Pro,3.13-3.19,16857,3,12,1259155
Redmi Note 7 Pro,3.20-3.26,43213,3,13,1259155
Redmi Note 7 Pro,3.27-3.31,13501,3,14,1259155
Redmi Note 7 Pro,4.1-4.2,5320,4,14,1259155
Redmi Note 7 Pro,4.3-4.9,17175,4,15,1259155
Redmi Note 7 Pro,4.10-4.16,14936,4,16,1259155
Redmi Note 7 Pro,4.17-4.23,13196,4,17,1259155
Redmi Note 7 Pro,4.24-4.30,11505,4,18,1259155
Redmi Note 7 Pro,5.1-5.7,12591,5,19,1259155
Redmi Note 7 Pro,5.8-5.14,15009,5,20,1259155
Redmi Note 7 Pro,5.15-5.21,11416,5,21,1259155
Redmi Note 7 Pro,5.22-5.28,9740,5,22,1259155
Redmi Note 7 Pro,5.29-5.31,4439,5,23,1259155
Redmi Note 7 Pro,6.1-6.4,4971,6,23,1259155
Redmi Note 7 Pro,6.5-6.11,7852,6,24,1259155
Redmi Note 7 Pro,6.12-6.18,7582,6,25,1259155
Redmi Note 7 Pro,6.19-6.25,7645,6,26,1259155
Redmi Note 7 Pro,6.26-6.30,5921,6,27,1259155
Redmi Note 7 Pro,7.1-7.2,2584,7,27,1259155
Redmi Note 7 Pro,7.3-7.9,7152,7,28,1259155
Redmi Note 7 Pro,7.10-7.16,7000,7,29,1259155
Redmi Note 7 Pro,7.17-7.23,6221,7,30,1259155
Redmi Note 7 Pro,7.24-7.30,5518,7,31,1259155
Redmi Note 7 Pro,7.31-7.31,788,7,32,1259155
Redmi Note 7 Pro,8.1-8.6,4684,8,32,1259155
Redmi Note 7 Pro,8.7-8.13,5508,8,33,1259155
Redmi Note 7 Pro,8.14-8.20,5191,8,34,1259155
Redmi Note 7 Pro,8.21-8.27,4738,8,35,1259155
Redmi Note 7 Pro,8.28-8.31,2732,8,36,1259155
Redmi Note 7 Pro,9.1-9.3,2317,9,36,1259155
Redmi Note 7 Pro,9.4-9.10,5686,9,37,1259155
Redmi Note 7 Pro,9.11-9.17,6197,9,38,1259155
Redmi Note 7 Pro,9.18-9.24,8131,9,39,1259155
Redmi Note 7 Pro,9.25-9.30,6041,9,40,1259155
Redmi Note 7 Pro,10.1,1000,10,40,1259155
Redmi Note 7 Pro,10.2-10.8,4646,10,41,1259155
Redmi Note 7 Pro,10.9-10.15,5018,10,42,1259155
Redmi Note 7 Pro,10.16-10.22,5001,10,43,1259155
Redmi Note 8,1.1-1.5,67174,1,1,1285904
Redmi Note 8,1.6-1.12,91224,1,2,1285904
Redmi Note 8,1.13-1.19,102029,1,3,1285904
Redmi Note 8,1.20-1.26,116941,1,4,1285904
Redmi Note 8,1.27-1.31,63041,1,5,1285904
Redmi Note 8,2.1-2.2,23678,2,5,1285904
Redmi Note 8,2.3-2.9,64583,2,6,1285904
Redmi Note 8,2.10-2.16,57096,2,7,1285904
Redmi Note 8,2.17-2.23,62593,2,8,1285904
Redmi Note 8,2.24-2.29,62754,2,9,1285904
Redmi Note 8,3.1-3.5,56300,3,10,1285904
Redmi Note 8,3.6-3.12,78263,3,11,1285904
Redmi Note 8,3.13-3.19,79490,3,12,1285904
Redmi Note 8,3.20-3.26,129701,3,13,1285904
Redmi Note 8,3.27-3.31,58585,3,14,1285904
Redmi Note 8,4.1-4.2,26743,4,14,1285904
Redmi Note 8,4.3-4.9,93519,4,15,1285904
Redmi Note 8,4.10-4.16,87638,4,16,1285904
Redmi Note 8,4.17-4.23,85459,4,17,1285904
Redmi Note 8,4.24-4.30,79290,4,18,1285904
Redmi Note 8,5.1-5.7,92249,5,19,1285904
Redmi Note 8,5.8-5.14,105846,5,20,1285904
Redmi Note 8,5.15-5.21,80403,5,21,1285904
Redmi Note 8,5.22-5.28,74128,5,22,1285904
Redmi Note 8,5.29-5.31,34439,5,23,1285904
Redmi Note 8,6.1-6.4,39238,6,23,1285904
Redmi Note 8,6.5-6.11,66115,6,24,1285904
Redmi Note 8,6.12-6.18,64546,6,25,1285904
Redmi Note 8,6.19-6.25,73047,6,26,1285904
Redmi Note 8,6.26-6.30,51770,6,27,1285904
Redmi Note 8,7.1-7.2,22464,7,27,1285904
Redmi Note 8,7.3-7.9,67498,7,28,1285904
Redmi Note 8,7.10-7.16,65271,7,29,1285904
Redmi Note 8,7.17-7.23,62467,7,30,1285904
Redmi Note 8,7.24-7.30,62124,7,31,1285904
Redmi Note 8,7.31-7.31,8875,7,32,1285904
Redmi Note 8,8.1-8.6,54726,8,32,1285904
Redmi Note 8,8.7-8.13,63049,8,33,1285904
Redmi Note 8,8.14-8.20,61343,8,34,1285904
Redmi Note 8,8.21-8.27,56820,8,35,1285904
Redmi Note 8,8.28-8.31,34767,8,36,1285904
Redmi Note 8,9.1-9.3,24601,9,36,1285904
Redmi Note 8,9.4-9.10,50610,9,37,1285904
Redmi Note 8,9.11-9.17,46859,9,38,1285904
Redmi Note 8,9.18-9.24,43379,9,39,1285904
Redmi Note 8,9.25-9.30,37266,9,40,1285904
Redmi Note 8,10.1,10862,10,40,1285904
Redmi Note 8,10.2-10.8,54018,10,41,1285904
Redmi Note 8,10.9-10.15,42431,10,42,1285904
Redmi Note 8,10.16-10.22,38253,10,43,1285904
Redmi Note 8 Pro,1.1-1.5,\,1,1,1289775
Redmi Note 8 Pro,1.6-1.12,\,1,2,1289775
Redmi Note 8 Pro,1.13-1.19,\,1,3,1289775
Redmi Note 8 Pro,1.20-1.26,\,1,4,1289775
Redmi Note 8 Pro,1.27-1.31,\,1,5,1289775
Redmi Note 8 Pro,2.1-2.2,\,2,5,1289775
Redmi Note 8 Pro,2.3-2.9,\,2,6,1289775
Redmi Note 8 Pro,2.10-2.16,\,2,7,1289775
Redmi Note 8 Pro,2.17-2.23,\,2,8,1289775
Redmi Note 8 Pro,2.24-2.29,\,2,9,1289775
Redmi Note 8 Pro,3.1-3.5,\,3,10,1289775
Redmi Note 8 Pro,3.6-3.12,\,3,11,1289775
Redmi Note 8 Pro,3.13-3.19,\,3,12,1289775
Redmi Note 8 Pro,3.20-3.26,\,3,13,1289775
Redmi Note 8 Pro,3.27-3.31,\,3,14,1289775
Redmi Note 8 Pro,4.1-4.2,\,4,14,1289775
Redmi Note 8 Pro,4.3-4.9,\,4,15,1289775
Redmi Note 8 Pro,4.10-4.16,\,4,16,1289775
Redmi Note 8 Pro,4.17-4.23,\,4,17,1289775
Redmi Note 8 Pro,4.24-4.30,\,4,18,1289775
Redmi Note 8 Pro,5.1-5.7,\,5,19,1289775
Redmi Note 8 Pro,5.8-5.14,\,5,20,1289775
Redmi Note 8 Pro,5.15-5.21,\,5,21,1289775
Redmi Note 8 Pro,5.22-5.28,\,5,22,1289775
Redmi Note 8 Pro,5.29-5.31,\,5,23,1289775
Redmi Note 8 Pro,6.1-6.4,\,6,23,1289775
Redmi Note 8 Pro,6.5-6.11,60702,6,24,1289775
Redmi Note 8 Pro,6.12-6.18,57928,6,25,1289775
Redmi Note 8 Pro,6.19-6.25,61610,6,26,1289775
Redmi Note 8 Pro,6.26-6.30,43369,6,27,1289775
Redmi Note 8 Pro,7.1-7.2,18734,7,27,1289775
Redmi Note 8 Pro,7.3-7.9,53354,7,28,1289775
Redmi Note 8 Pro,7.10-7.16,52103,7,29,1289775
Redmi Note 8 Pro,7.17-7.23,50371,7,30,1289775
Redmi Note 8 Pro,7.24-7.30,42394,7,31,1289775
Redmi Note 8 Pro,7.31-7.31,6056,7,32,1289775
Redmi Note 8 Pro,8.1-8.6,34648,8,32,1289775
Redmi Note 8 Pro,8.7-8.13,36250,8,33,1289775
Redmi Note 8 Pro,8.14-8.20,35794,8,34,1289775
Redmi Note 8 Pro,8.21-8.27,33421,8,35,1289775
Redmi Note 8 Pro,8.28-8.31,20823,8,36,1289775
Redmi Note 8 Pro,9.1-9.3,14762,9,36,1289775
Redmi Note 8 Pro,9.4-9.10,28302,9,37,1289775
Redmi Note 8 Pro,9.11-9.17,26354,9,38,1289775
Redmi Note 8 Pro,9.18-9.24,23371,9,39,1289775
Redmi Note 8 Pro,9.25-9.30,20586,9,40,1289775
Redmi Note 8 Pro,10.1,6140,10,40,1289775
Redmi Note 8 Pro,10.2-10.8,27023,10,41,1289775
Redmi Note 8 Pro,10.9-10.15,21107,10,42,1289775
Redmi Note 8 Pro,10.16-10.22,20477,10,43,1289775
vivo iQOO,1.1-1.5,4252,1,1,1257740
vivo iQOO,1.6-1.12,4550,1,2,1257740
vivo iQOO,1.13-1.19,3695,1,3,1257740
vivo iQOO,1.20-1.26,3614,1,4,1257740
vivo iQOO,1.27-1.31,1942,1,5,1257740
vivo iQOO,2.1-2.2,597,2,5,1257740
vivo iQOO,2.3-2.9,1611,2,6,1257740
vivo iQOO,2.10-2.16,1530,2,7,1257740
vivo iQOO,2.17-2.23,1637,2,8,1257740
vivo iQOO,2.24-2.29,1416,2,9,1257740
vivo iQOO,3.1-3.5,1212,3,10,1257740
vivo iQOO,3.6-3.12,1639,3,11,1257740
vivo iQOO,3.13-3.19,1602,3,12,1257740
vivo iQOO,3.20-3.26,2170,3,13,1257740
vivo iQOO,3.27-3.31,931,3,14,1257740
vivo iQOO,4.1-4.2,320,4,14,1257740
vivo iQOO,4.3-4.9,1190,4,15,1257740
vivo iQOO,4.10-4.16,1756,4,16,1257740
vivo iQOO,4.17-4.23,1983,4,17,1257740
vivo iQOO,4.24-4.30,3960,4,18,1257740
vivo iQOO,5.1-5.7,4505,5,19,1257740
vivo iQOO,5.8-5.14,2410,5,20,1257740
vivo iQOO,5.15-5.21,1455,5,21,1257740
vivo iQOO,5.22-5.28,2227,5,22,1257740
vivo iQOO,5.29-5.31,759,5,23,1257740
vivo iQOO,6.1-6.4,1594,6,23,1257740
vivo iQOO,6.5-6.11,1615,6,24,1257740
vivo iQOO,6.12-6.18,987,6,25,1257740
vivo iQOO,6.19-6.25,6417,6,26,1257740
vivo iQOO,6.26-6.30,4258,6,27,1257740
vivo iQOO,7.1-7.2,863,7,27,1257740
vivo iQOO,7.3-7.9,3713,7,28,1257740
vivo iQOO,7.10-7.16,5105,7,29,1257740
vivo iQOO,7.17-7.23,386,7,30,1257740
vivo iQOO,7.24-7.30,329,7,31,1257740
vivo iQOO,7.31-7.31,47,7,32,1257740
vivo iQOO,8.1-8.6,365,8,32,1257740
vivo iQOO,8.7-8.13,430,8,33,1257740
vivo iQOO,8.14-8.20,212,8,34,1257740
vivo iQOO,8.21-8.27,160,8,35,1257740
vivo iQOO,8.28-8.31,90,8,36,1257740
vivo iQOO,9.1-9.3,63,9,36,1257740
vivo iQOO,9.4-9.10,310,9,37,1257740
vivo iQOO,9.11-9.17,160,9,38,1257740
vivo iQOO,9.18-9.24,154,9,39,1257740
vivo iQOO,9.25-9.30,140,9,40,1257740
vivo iQOO,10.1,20,10,40,1257740
vivo iQOO,10.2-10.8,70,10,41,1257740
vivo iQOO,10.9-10.15,104,10,42,1257740
vivo iQOO,10.16-10.22,53,10,43,1257740
vivo iQOO 3,1.1-1.5,\,1,1,1310813
vivo iQOO 3,1.6-1.12,\,1,2,1310813
vivo iQOO 3,1.13-1.19,\,1,3,1310813
vivo iQOO 3,1.20-1.26,\,1,4,1310813
vivo iQOO 3,1.27-1.31,\,1,5,1310813
vivo iQOO 3,2.1-2.2,\,2,5,1310813
vivo iQOO 3,2.3-2.9,\,2,6,1310813
vivo iQOO 3,2.10-2.16,\,2,7,1310813
vivo iQOO 3,2.17-2.23,\,2,8,1310813
vivo iQOO 3,2.24-2.29,\,2,9,1310813
vivo iQOO 3,3.1-3.5,4294,3,10,1310813
vivo iQOO 3,3.6-3.12,8849,3,11,1310813
vivo iQOO 3,3.13-3.19,9615,3,12,1310813
vivo iQOO 3,3.20-3.26,10202,3,13,1310813
vivo iQOO 3,3.27-3.31,7766,3,14,1310813
vivo iQOO 3,4.1-4.2,3155,4,14,1310813
vivo iQOO 3,4.3-4.9,13547,4,15,1310813
vivo iQOO 3,4.10-4.16,13172,4,16,1310813
vivo iQOO 3,4.17-4.23,13658,4,17,1310813
vivo iQOO 3,4.24-4.30,13112,4,18,1310813
vivo iQOO 3,5.1-5.7,13676,5,19,1310813
vivo iQOO 3,5.8-5.14,13688,5,20,1310813
vivo iQOO 3,5.15-5.21,13969,5,21,1310813
vivo iQOO 3,5.22-5.28,13286,5,22,1310813
vivo iQOO 3,5.29-5.31,5708,5,23,1310813
vivo iQOO 3,6.1-6.4,10747,6,23,1310813
vivo iQOO 3,6.5-6.11,18736,6,24,1310813
vivo iQOO 3,6.12-6.18,18651,6,25,1310813
vivo iQOO 3,6.19-6.25,20051,6,26,1310813
vivo iQOO 3,6.26-6.30,13168,6,27,1310813
vivo iQOO 3,7.1-7.2,5442,7,27,1310813
vivo iQOO 3,7.3-7.9,18819,7,28,1310813
vivo iQOO 3,7.10-7.16,21286,7,29,1310813
vivo iQOO 3,7.17-7.23,21098,7,30,1310813
vivo iQOO 3,7.24-7.30,21436,7,31,1310813
vivo iQOO 3,7.31-7.31,3062,7,32,1310813
vivo iQOO 3,8.1-8.6,19524,8,32,1310813
vivo iQOO 3,8.7-8.13,21769,8,33,1310813
vivo iQOO 3,8.14-8.20,21468,8,34,1310813
vivo iQOO 3,8.21-8.27,21516,8,35,1310813
vivo iQOO 3,8.28-8.31,11973,8,36,1310813
vivo iQOO 3,9.1-9.3,8954,9,36,1310813
vivo iQOO 3,9.4-9.10,20334,9,37,1310813
vivo iQOO 3,9.11-9.17,20198,9,38,1310813
vivo iQOO 3,9.18-9.24,19448,9,39,1310813
vivo iQOO 3,9.25-9.30,16254,9,40,1310813
vivo iQOO 3,10.1,3003,10,40,1310813
vivo iQOO 3,10.2-10.8,19901,10,41,1310813
vivo iQOO 3,10.9-10.15,20011,10,42,1310813
vivo iQOO 3,10.16-10.22,19538,10,43,1310813
vivo iQOO 5,1.1-1.5,\,1,1,1334280
vivo iQOO 5,1.6-1.12,\,1,2,1334280
vivo iQOO 5,1.13-1.19,\,1,3,1334280
vivo iQOO 5,1.20-1.26,\,1,4,1334280
vivo iQOO 5,1.27-1.31,\,1,5,1334280
vivo iQOO 5,2.1-2.2,\,2,5,1334280
vivo iQOO 5,2.3-2.9,\,2,6,1334280
vivo iQOO 5,2.10-2.16,\,2,7,1334280
vivo iQOO 5,2.17-2.23,\,2,8,1334280
vivo iQOO 5,2.24-2.29,\,2,9,1334280
vivo iQOO 5,3.1-3.5,\,3,10,1334280
vivo iQOO 5,3.6-3.12,\,3,11,1334280
vivo iQOO 5,3.13-3.19,\,3,12,1334280
vivo iQOO 5,3.20-3.26,\,3,13,1334280
vivo iQOO 5,3.27-3.31,\,3,14,1334280
vivo iQOO 5,4.1-4.2,\,4,14,1334280
vivo iQOO 5,4.3-4.9,\,4,15,1334280
vivo iQOO 5,4.10-4.16,\,4,16,1334280
vivo iQOO 5,4.17-4.23,\,4,17,1334280
vivo iQOO 5,4.24-4.30,\,4,18,1334280
vivo iQOO 5,5.1-5.7,\,5,19,1334280
vivo iQOO 5,5.8-5.14,\,5,20,1334280
vivo iQOO 5,5.15-5.21,\,5,21,1334280
vivo iQOO 5,5.22-5.28,\,5,22,1334280
vivo iQOO 5,5.29-5.31,\,5,23,1334280
vivo iQOO 5,6.1-6.4,\,6,23,1334280
vivo iQOO 5,6.5-6.11,\,6,24,1334280
vivo iQOO 5,6.12-6.18,\,6,25,1334280
vivo iQOO 5,6.19-6.25,\,6,26,1334280
vivo iQOO 5,6.26-6.30,\,6,27,1334280
vivo iQOO 5,7.1-7.2,\,7,27,1334280
vivo iQOO 5,7.3-7.9,\,7,28,1334280
vivo iQOO 5,7.10-7.16,\,7,29,1334280
vivo iQOO 5,7.17-7.23,\,7,30,1334280
vivo iQOO 5,7.24-7.30,\,7,31,1334280
vivo iQOO 5,7.31-7.31,\,7,32,1334280
vivo iQOO 5,8.1-8.6,\,8,32,1334280
vivo iQOO 5,8.7-8.13,\,8,33,1334280
vivo iQOO 5,8.14-8.20,\,8,34,1334280
vivo iQOO 5,8.21-8.27,4024,8,35,1334280
vivo iQOO 5,8.28-8.31,3221,8,36,1334280
vivo iQOO 5,9.1-9.3,2278,9,36,1334280
vivo iQOO 5,9.4-9.10,5323,9,37,1334280
vivo iQOO 5,9.11-9.17,5937,9,38,1334280
vivo iQOO 5,9.18-9.24,5895,9,39,1334280
vivo iQOO 5,9.25-9.30,5362,9,40,1334280
vivo iQOO 5,10.1,1108,10,40,1334280
vivo iQOO 5,10.2-10.8,7312,10,41,1334280
vivo iQOO 5,10.9-10.15,6933,10,42,1334280
vivo iQOO 5,10.16-10.22,7113,10,43,1334280
vivo iQOO 5 Pro,1.1-1.5,\,1,1,1335772
vivo iQOO 5 Pro,1.6-1.12,\,1,2,1335772
vivo iQOO 5 Pro,1.13-1.19,\,1,3,1335772
vivo iQOO 5 Pro,1.20-1.26,\,1,4,1335772
vivo iQOO 5 Pro,1.27-1.31,\,1,5,1335772
vivo iQOO 5 Pro,2.1-2.2,\,2,5,1335772
vivo iQOO 5 Pro,2.3-2.9,\,2,6,1335772
vivo iQOO 5 Pro,2.10-2.16,\,2,7,1335772
vivo iQOO 5 Pro,2.17-2.23,\,2,8,1335772
vivo iQOO 5 Pro,2.24-2.29,\,2,9,1335772
vivo iQOO 5 Pro,3.1-3.5,\,3,10,1335772
vivo iQOO 5 Pro,3.6-3.12,\,3,11,1335772
vivo iQOO 5 Pro,3.13-3.19,\,3,12,1335772
vivo iQOO 5 Pro,3.20-3.26,\,3,13,1335772
vivo iQOO 5 Pro,3.27-3.31,\,3,14,1335772
vivo iQOO 5 Pro,4.1-4.2,\,4,14,1335772
vivo iQOO 5 Pro,4.3-4.9,\,4,15,1335772
vivo iQOO 5 Pro,4.10-4.16,\,4,16,1335772
vivo iQOO 5 Pro,4.17-4.23,\,4,17,1335772
vivo iQOO 5 Pro,4.24-4.30,\,4,18,1335772
vivo iQOO 5 Pro,5.1-5.7,\,5,19,1335772
vivo iQOO 5 Pro,5.8-5.14,\,5,20,1335772
vivo iQOO 5 Pro,5.15-5.21,\,5,21,1335772
vivo iQOO 5 Pro,5.22-5.28,\,5,22,1335772
vivo iQOO 5 Pro,5.29-5.31,\,5,23,1335772
vivo iQOO 5 Pro,6.1-6.4,\,6,23,1335772
vivo iQOO 5 Pro,6.5-6.11,\,6,24,1335772
vivo iQOO 5 Pro,6.12-6.18,\,6,25,1335772
vivo iQOO 5 Pro,6.19-6.25,\,6,26,1335772
vivo iQOO 5 Pro,6.26-6.30,\,6,27,1335772
vivo iQOO 5 Pro,7.1-7.2,\,7,27,1335772
vivo iQOO 5 Pro,7.3-7.9,\,7,28,1335772
vivo iQOO 5 Pro,7.10-7.16,\,7,29,1335772
vivo iQOO 5 Pro,7.17-7.23,\,7,30,1335772
vivo iQOO 5 Pro,7.24-7.30,\,7,31,1335772
vivo iQOO 5 Pro,7.31-7.31,\,7,32,1335772
vivo iQOO 5 Pro,8.1-8.6,\,8,32,1335772
vivo iQOO 5 Pro,8.7-8.13,\,8,33,1335772
vivo iQOO 5 Pro,8.14-8.20,\,8,34,1335772
vivo iQOO 5 Pro,8.21-8.27,\,8,35,1335772
vivo iQOO 5 Pro,8.28-8.31,\,8,36,1335772
vivo iQOO 5 Pro,9.1-9.3,\,9,36,1335772
vivo iQOO 5 Pro,9.4-9.10,\,9,37,1335772
vivo iQOO 5 Pro,9.11-9.17,\,9,38,1335772
vivo iQOO 5 Pro,9.18-9.24,7090,9,39,1335772
vivo iQOO 5 Pro,9.25-9.30,3793,9,40,1335772
vivo iQOO 5 Pro,10.1,651,10,40,1335772
vivo iQOO 5 Pro,10.2-10.8,4435,10,41,1335772
vivo iQOO 5 Pro,10.9-10.15,4192,10,42,1335772
vivo iQOO 5 Pro,10.16-10.22,4330,10,43,1335772
vivo iQOO Neo,1.1-1.5,5108,1,1,1280299
vivo iQOO Neo,1.6-1.12,5655,1,2,1280299
vivo iQOO Neo,1.13-1.19,4967,1,3,1280299
vivo iQOO Neo,1.20-1.26,4784,1,4,1280299
vivo iQOO Neo,1.27-1.31,2571,1,5,1280299
vivo iQOO Neo,2.1-2.2,781,2,5,1280299
vivo iQOO Neo,2.3-2.9,2067,2,6,1280299
vivo iQOO Neo,2.10-2.16,1790,2,7,1280299
vivo iQOO Neo,2.17-2.23,1816,2,8,1280299
vivo iQOO Neo,2.24-2.29,1503,2,9,1280299
vivo iQOO Neo,3.1-3.5,1205,3,10,1280299
vivo iQOO Neo,3.6-3.12,1476,3,11,1280299
vivo iQOO Neo,3.13-3.19,1388,3,12,1280299
vivo iQOO Neo,3.20-3.26,2543,3,13,1280299
vivo iQOO Neo,3.27-3.31,907,3,14,1280299
vivo iQOO Neo,4.1-4.2,358,4,14,1280299
vivo iQOO Neo,4.3-4.9,1333,4,15,1280299
vivo iQOO Neo,4.10-4.16,1100,4,16,1280299
vivo iQOO Neo,4.17-4.23,1065,4,17,1280299
vivo iQOO Neo,4.24-4.30,870,4,18,1280299
vivo iQOO Neo,5.1-5.7,1004,5,19,1280299
vivo iQOO Neo,5.8-5.14,874,5,20,1280299
vivo iQOO Neo,5.15-5.21,745,5,21,1280299
vivo iQOO Neo,5.22-5.28,757,5,22,1280299
vivo iQOO Neo,5.29-5.31,311,5,23,1280299
vivo iQOO Neo,6.1-6.4,263,6,23,1280299
vivo iQOO Neo,6.5-6.11,460,6,24,1280299
vivo iQOO Neo,6.12-6.18,463,6,25,1280299
vivo iQOO Neo,6.19-6.25,731,6,26,1280299
vivo iQOO Neo,6.26-6.30,1083,6,27,1280299
vivo iQOO Neo,7.1-7.2,185,7,27,1280299
vivo iQOO Neo,7.3-7.9,736,7,28,1280299
vivo iQOO Neo,7.10-7.16,282,7,29,1280299
vivo iQOO Neo,7.17-7.23,203,7,30,1280299
vivo iQOO Neo,7.24-7.30,161,7,31,1280299
vivo iQOO Neo,7.31-7.31,23,7,32,1280299
vivo iQOO Neo,8.1-8.6,165,8,32,1280299
vivo iQOO Neo,8.7-8.13,354,8,33,1280299
vivo iQOO Neo,8.14-8.20,207,8,34,1280299
vivo iQOO Neo,8.21-8.27,217,8,35,1280299
vivo iQOO Neo,8.28-8.31,270,8,36,1280299
vivo iQOO Neo,9.1-9.3,191,9,36,1280299
vivo iQOO Neo,9.4-9.10,340,9,37,1280299
vivo iQOO Neo,9.11-9.17,275,9,38,1280299
vivo iQOO Neo,9.18-9.24,271,9,39,1280299
vivo iQOO Neo,9.25-9.30,654,9,40,1280299
vivo iQOO Neo,10.1,54,10,40,1280299
vivo iQOO Neo,10.2-10.8,229,10,41,1280299
vivo iQOO Neo,10.9-10.15,206,10,42,1280299
vivo iQOO Neo,10.16-10.22,206,10,43,1280299
vivo iQOO Neo 855版,1.1-1.5,16662,1,1,1295145
vivo iQOO Neo 855版,1.6-1.12,19916,1,2,1295145
vivo iQOO Neo 855版,1.13-1.19,22365,1,3,1295145
vivo iQOO Neo 855版,1.20-1.26,25169,1,4,1295145
vivo iQOO Neo 855版,1.27-1.31,15016,1,5,1295145
vivo iQOO Neo 855版,2.1-2.2,5634,2,5,1295145
vivo iQOO Neo 855版,2.3-2.9,14673,2,6,1295145
vivo iQOO Neo 855版,2.10-2.16,13956,2,7,1295145
vivo iQOO Neo 855版,2.17-2.23,17226,2,8,1295145
vivo iQOO Neo 855版,2.24-2.29,19087,2,9,1295145
vivo iQOO Neo 855版,3.1-3.5,18183,3,10,1295145
vivo iQOO Neo 855版,3.6-3.12,21540,3,11,1295145
vivo iQOO Neo 855版,3.13-3.19,21433,3,12,1295145
vivo iQOO Neo 855版,3.20-3.26,26256,3,13,1295145
vivo iQOO Neo 855版,3.27-3.31,15492,3,14,1295145
vivo iQOO Neo 855版,4.1-4.2,6422,4,14,1295145
vivo iQOO Neo 855版,4.3-4.9,20496,4,15,1295145
vivo iQOO Neo 855版,4.10-4.16,15272,4,16,1295145
vivo iQOO Neo 855版,4.17-4.23,14258,4,17,1295145
vivo iQOO Neo 855版,4.24-4.30,12119,4,18,1295145
vivo iQOO Neo 855版,5.1-5.7,16333,5,19,1295145
vivo iQOO Neo 855版,5.8-5.14,15941,5,20,1295145
vivo iQOO Neo 855版,5.15-5.21,6334,5,21,1295145
vivo iQOO Neo 855版,5.22-5.28,5967,5,22,1295145
vivo iQOO Neo 855版,5.29-5.31,2984,5,23,1295145
vivo iQOO Neo 855版,6.1-6.4,2999,6,23,1295145
vivo iQOO Neo 855版,6.5-6.11,4298,6,24,1295145
vivo iQOO Neo 855版,6.12-6.18,3461,6,25,1295145
vivo iQOO Neo 855版,6.19-6.25,6270,6,26,1295145
