机型,日期,销量,月份,周数,index
OPPO A7,10.16-10.22,3122,10,43,1232384
OPPO A72,1.1-1.5,\,1,1,1320397
OPPO A72,1.6-1.12,\,1,2,1320397
OPPO A72,1.13-1.19,\,1,3,1320397
OPPO A72,1.20-1.26,\,1,4,1320397
OPPO A72,1.27-1.31,\,1,5,1320397
OPPO A72,2.1-2.2,\,2,5,1320397
OPPO A72,2.3-2.9,\,2,6,1320397
OPPO A72,2.10-2.16,\,2,7,1320397
OPPO A72,2.17-2.23,\,2,8,1320397
OPPO A72,2.24-2.29,\,2,9,1320397
OPPO A72,3.1-3.5,\,3,10,1320397
OPPO A72,3.6-3.12,\,3,11,1320397
OPPO A72,3.13-3.19,\,3,12,1320397
OPPO A72,3.20-3.26,\,3,13,1320397
OPPO A72,3.27-3.31,\,3,14,1320397
OPPO A72,4.1-4.2,\,4,14,1320397
OPPO A72,4.3-4.9,\,4,15,1320397
OPPO A72,4.10-4.16,\,4,16,1320397
OPPO A72,4.17-4.23,\,4,17,1320397
OPPO A72,4.24-4.30,\,4,18,1320397
OPPO A72,5.1-5.7,\,5,19,1320397
OPPO A72,5.8-5.14,\,5,20,1320397
OPPO A72,5.15-5.21,\,5,21,1320397
OPPO A72,5.22-5.28,\,5,22,1320397
OPPO A72,5.29-5.31,\,5,23,1320397
OPPO A72,6.1-6.4,\,6,23,1320397
OPPO A72,6.5-6.11,\,6,24,1320397
OPPO A72,6.12-6.18,\,6,25,1320397
OPPO A72,6.19-6.25,\,6,26,1320397
OPPO A72,6.26-6.30,\,6,27,1320397
OPPO A72,7.1-7.2,\,7,27,1320397
OPPO A72,7.3-7.9,\,7,28,1320397
OPPO A72,7.10-7.16,\,7,29,1320397
OPPO A72,7.17-7.23,\,7,30,1320397
OPPO A72,7.24-7.30,\,7,31,1320397
OPPO A72,7.31-7.31,\,7,32,1320397
OPPO A72,8.1-8.6,20060,8,32,1320397
OPPO A72,8.7-8.13,23344,8,33,1320397
OPPO A72,8.14-8.20,30567,8,34,1320397
OPPO A72,8.21-8.27,32488,8,35,1320397
OPPO A72,8.28-8.31,21056,8,36,1320397
OPPO A72,9.1-9.3,15869,9,36,1320397
OPPO A72,9.4-9.10,38549,9,37,1320397
OPPO A72,9.11-9.17,44125,9,38,1320397
OPPO A72,9.18-9.24,47898,9,39,1320397
OPPO A72,9.25-9.30,45866,9,40,1320397
OPPO A72,10.1,12428,10,40,1320397
OPPO A72,10.2-10.8,72860,10,41,1320397
OPPO A72,10.9-10.15,65163,10,42,1320397
OPPO A72,10.16-10.22,70376,10,43,1320397
OPPO A7x,1.1-1.5,67111,1,1,1230724
OPPO A7x,1.6-1.12,64879,1,2,1230724
OPPO A7x,1.13-1.19,47783,1,3,1230724
OPPO A7x,1.20-1.26,40715,1,4,1230724
OPPO A7x,1.27-1.31,23090,1,5,1230724
OPPO A7x,2.1-2.2,8365,2,5,1230724
OPPO A7x,2.3-2.9,22212,2,6,1230724
OPPO A7x,2.10-2.16,19046,2,7,1230724
OPPO A7x,2.17-2.23,15750,2,8,1230724
OPPO A7x,2.24-2.29,12561,2,9,1230724
OPPO A7x,3.1-3.5,11508,3,10,1230724
OPPO A7x,3.6-3.12,15003,3,11,1230724
OPPO A7x,3.13-3.19,19237,3,12,1230724
OPPO A7x,3.20-3.26,40498,3,13,1230724
OPPO A7x,3.27-3.31,18490,3,14,1230724
OPPO A7x,4.1-4.2,6133,4,14,1230724
OPPO A7x,4.3-4.9,19508,4,15,1230724
OPPO A7x,4.10-4.16,16877,4,16,1230724
OPPO A7x,4.17-4.23,14884,4,17,1230724
OPPO A7x,4.24-4.30,13583,4,18,1230724
OPPO A7x,5.1-5.7,12108,5,19,1230724
OPPO A7x,5.8-5.14,11720,5,20,1230724
OPPO A7x,5.15-5.21,10617,5,21,1230724
OPPO A7x,5.22-5.28,9369,5,22,1230724
OPPO A7x,5.29-5.31,4171,5,23,1230724
OPPO A7x,6.1-6.4,4912,6,23,1230724
OPPO A7x,6.5-6.11,8014,6,24,1230724
OPPO A7x,6.12-6.18,8438,6,25,1230724
OPPO A7x,6.19-6.25,8883,6,26,1230724
